stage_classifiercode,division,division_short_name,hhf,last_changed
06-03,SINGLE STACK,SS,14.9224,2019-05-01 09:41:55.000000 UTC
06-03,PCC,PCC,16.5673,2022-03-01 21:41:44.000000 UTC
06-03,PRODUCTION,PROD,15.9889,2019-05-01 09:41:55.000000 UTC
06-04,REVOLVER,REV,9.8645,2019-05-01 09:41:55.000000 UTC
06-04,LIMITED 10,L10,15.261,2019-05-01 09:43:26.000000 UTC
06-04,PRODUCTION,PROD,14.5282,2018-06-28 12:52:49.000000 UTC
06-04,OPEN,OPN,16.1215,2018-06-28 12:52:49.000000 UTC
06-04,LIMITED,LTD,15.261,2019-05-01 09:41:55.000000 UTC
06-04,SINGLE STACK,SS,13.741,2018-06-28 12:52:49.000000 UTC
06-04,CARRY OPTICS,CO,14.5282,2019-05-01 09:43:26.000000 UTC
06-04,PCC,PCC,17.4643,2019-05-01 09:41:55.000000 UTC
06-05,SINGLE STACK,SS,13.3461,2018-06-28 12:52:49.000000 UTC
06-05,REVOLVER,REV,9.4829,2019-05-01 09:41:55.000000 UTC
06-05,OPEN,OPN,15.1956,2019-05-01 09:41:55.000000 UTC
06-05,PCC,PCC,17.3088,2019-05-01 09:41:55.000000 UTC
06-05,CARRY OPTICS,CO,13.4141,2022-03-01 21:39:53.000000 UTC
06-05,LIMITED,LTD,13.4494,2018-06-28 12:52:49.000000 UTC
06-05,LIMITED 10,L10,13.4494,2019-05-01 09:43:26.000000 UTC
06-05,PRODUCTION,PROD,13.3166,2019-05-01 09:41:55.000000 UTC
06-06,SINGLE STACK,SS,8.1105,2018-06-28 12:52:49.000000 UTC
06-06,LIMITED 10,L10,8.6102,2019-05-01 09:43:26.000000 UTC
06-06,OPEN,OPN,9.624,2018-06-28 12:52:49.000000 UTC
06-06,LIMITED,LTD,8.6102,2018-06-28 12:52:49.000000 UTC
06-06,PRODUCTION,PROD,7.8485,2019-05-01 09:41:55.000000 UTC
06-06,REVOLVER,REV,6.0842,2018-06-28 12:52:49.000000 UTC
06-06,PCC,PCC,9.0559,2022-03-01 21:41:55.000000 UTC
06-06,CARRY OPTICS,CO,7.8485,2019-05-01 09:43:26.000000 UTC
06-10,LIMITED,LTD,10.8013,2018-06-28 12:52:49.000000 UTC
06-10,SINGLE STACK,SS,9.441,2019-05-01 09:41:55.000000 UTC
06-10,CARRY OPTICS,CO,9.943,2022-03-01 21:40:05.000000 UTC
06-10,LIMITED 10,L10,10.8013,2019-05-01 09:43:26.000000 UTC
06-10,PCC,PCC,13.1539,2022-03-01 21:41:52.000000 UTC
06-10,REVOLVER,REV,8.1072,2019-05-01 09:41:55.000000 UTC
06-10,OPEN,OPN,10.9065,2019-05-01 09:41:55.000000 UTC
06-10,PRODUCTION,PROD,9.92,2018-06-28 12:52:49.000000 UTC
08-01,LIMITED 10,L10,5.865,2019-05-01 09:43:26.000000 UTC
08-01,LIMITED,LTD,5.865,2018-06-28 12:52:49.000000 UTC
08-01,REVOLVER,REV,3.785,2018-06-28 12:52:49.000000 UTC
08-01,CARRY OPTICS,CO,5.124,2022-03-01 21:39:48.000000 UTC
08-01,PRODUCTION,PROD,5.0616,2019-05-01 09:41:55.000000 UTC
08-01,SINGLE STACK,SS,5.7975,2019-05-01 09:41:55.000000 UTC
08-01,PCC,PCC,7.9926,2022-03-01 21:40:10.000000 UTC
08-01,OPEN,OPN,7.0423,2018-06-28 12:52:49.000000 UTC
08-02,PRODUCTION,PROD,6.937,2019-05-01 09:41:55.000000 UTC
08-02,PCC,PCC,8.214,2022-03-01 21:40:36.000000 UTC
