stage_classifiercode,division,division_short_name,hhf,last_changed
22-02,PCC,PCC,8.6137,2022-12-11 00:00:00.000000 UTC
22-02,LIMITED 10,L10,7.4174,2022-12-11 00:00:00.000000 UTC
22-02,REVOLVER,REV,6.0784,2022-12-11 00:00:00.000000 UTC
22-04,OPEN,OPN,11.3231,2022-12-11 00:00:00.000000 UTC
22-04,LIMITED,LTD,10.5,2022-12-11 00:00:00.000000 UTC
22-04,SINGLE STACK,SS,10.2434,2022-12-11 00:00:00.000000 UTC
22-04,CARRY OPTICS,CO,10.75,2022-12-11 00:00:00.000000 UTC
22-04,PRODUCTION,PROD,9.75,2022-12-11 00:00:00.000000 UTC
22-04,PCC,PCC,10.6399,2022-12-11 00:00:00.000000 UTC
22-04,LIMITED 10,L10,10.044,2022-12-11 00:00:00.000000 UTC
22-04,REVOLVER,REV,7.8844,2022-12-11 00:00:00.000000 UTC
22-05,OPEN,OPN,104,2022-12-11 00:00:00.000000 UTC
22-05,LIMITED,LTD,98,2022-12-11 00:00:00.000000 UTC
22-05,SINGLE STACK,SS,96,2022-12-11 00:00:00.000000 UTC
22-05,CARRY OPTICS,CO,100,2022-12-11 00:00:00.000000 UTC
22-05,PRODUCTION,PROD,95,2022-12-11 00:00:00.000000 UTC
22-05,PCC,PCC,106,2022-12-11 00:00:00.000000 UTC
22-05,LIMITED 10,L10,98,2022-12-11 00:00:00.000000 UTC
22-05,REVOLVER,REV,78,2022-12-11 00:00:00.000000 UTC
22-06,OPEN,OPN,13.5458,2022-12-11 00:00:00.000000 UTC
22-06,LIMITED,LTD,12.0534,2022-12-11 00:00:00.000000 UTC
22-06,SINGLE STACK,SS,12.3,2022-12-11 00:00:00.000000 UTC
22-06,CARRY OPTICS,CO,12.5,2022-12-11 00:00:00.000000 UTC
22-06,PRODUCTION,PROD,12.0534,2022-12-11 00:00:00.000000 UTC
22-06,PCC,PCC,16.4382,2022-12-11 00:00:00.000000 UTC
22-06,LIMITED 10,L10,12.0534,2022-12-11 00:00:00.000000 UTC
22-06,REVOLVER,REV,10.8,2022-12-11 00:00:00.000000 UTC
22-07,OPEN,OPN,10.3344,2022-12-11 00:00:00.000000 UTC
22-07,LIMITED,LTD,9.3456,2022-12-11 00:00:00.000000 UTC
22-07,SINGLE STACK,SS,7.157,2022-12-11 00:00:00.000000 UTC
22-07,CARRY OPTICS,CO,9.714,2022-12-11 00:00:00.000000 UTC
22-07,PRODUCTION,PROD,8.6042,2022-12-11 00:00:00.000000 UTC
22-07,PCC,PCC,9.5071,2022-12-11 00:00:00.000000 UTC
22-07,LIMITED 10,L10,9.5071,2022-12-11 00:00:00.000000 UTC
22-07,REVOLVER,REV,6.8,2022-12-11 00:00:00.000000 UTC
