,code,title,div,total,avg,max,100%,GM,M,A,B,C,D
4,06-02,Big Barricade II,REV,75,2.13724,4.7474,0.0,0.0,6.666666666666671,10.666666666666671,20.0,52.0,94.66666666666667
5,06-02,Big Barricade II,PROD,744,2.815395967741935,8.2879,0.1344086021505433,0.26881720430107237,1.0752688172043037,4.435483870967744,16.129032258064512,44.89247311827957,93.81720430107528
6,06-02,Big Barricade II,SS,343,2.687456268221574,7.1291,0.5830903790087518,0.8746355685131135,2.332361516034979,6.122448979591837,15.743440233236157,45.18950437317784,94.46064139941691
7,06-02,Big Barricade II,CO,1305,4.125948582375479,8.9586,0.3065134099616813,1.0727969348659059,4.061302681992331,12.41379310344827,32.643678160919535,65.05747126436782,96.62835249042145
0,06-03,Can You Count,OPN,4012,8.814990528414755,16.6389,0.0,0.0498504486540412,1.2711864406779654,7.901296111665005,35.742771684945154,76.02193419740779,95.36390827517448
1,06-03,Can You Count,LTD,7324,8.069138885854725,16.1031,0.0,0.027307482250137127,0.6417258328782083,4.765155652648829,26.1605679956308,72.03713817586018,96.91425450573458
2,06-03,Can You Count,L10,716,7.964116480446927,17.338,0.13966480446927676,0.2793296089385535,1.1173184357541857,5.02793296089385,22.625698324022352,71.50837988826815,96.50837988826815
3,06-03,Can You Count,REV,392,6.3809173469387765,11.7096,0.5102040816326507,0.5102040816326507,2.040816326530617,8.163265306122454,43.62244897959184,87.24489795918367,97.95918367346938
4,06-03,Can You Count,CO,6794,8.424112511039153,17.0139,0.029437739181631173,0.08831321754489352,1.2658227848101262,8.242566970856643,37.2093023255814,79.06976744186046,96.89431851633795
5,06-03,Can You Count,SS,1737,7.923844732297064,15.2207,0.0575705238917692,0.4029936672423702,2.936096718480144,10.477835348301667,38.91767415083478,77.89291882556131,96.60333909038572
6,06-03,Can You Count,PCC,3450,8.265988898550724,17.2043,0.05797101449275033,0.5797101449275317,3.0144927536231876,10.985507246376812,34.318840579710155,69.68115942028984,96.11594202898551
7,06-03,Can You Count,PROD,4722,8.32898530283778,15.949,0.0,0.08470986869970432,1.2071156289707687,7.666243117323162,36.573485811096994,77.89072426937739,96.73867005506142
0,06-04,Fluffy's Revenge 1,REV,156,4.885149358974359,10.2703,1.2820512820512846,3.2051282051282044,10.256410256410248,17.307692307692307,41.66666666666667,58.333333333333336,94.23076923076923
1,06-04,Fluffy's Revenge 1,L10,314,5.427112420382166,14.8594,0.0,0.31847133757962354,0.6369426751592329,2.866242038216555,10.828025477707001,41.082802547770704,91.0828025477707
2,06-04,Fluffy's Revenge 1,PROD,2240,5.6866134375,13.5593,0.0,0.0,0.7589285714285694,3.794642857142861,17.00892857142857,51.42857142857142,91.91964285714286
3,06-04,Fluffy's Revenge 1,OPN,1805,7.498500166204986,16.318,0.05540166204986008,0.16620498614958024,1.3296398891966703,6.149584487534625,26.42659279778394,67.202216066482,95.23545706371192
4,06-04,Fluffy's Revenge 1,LTD,3317,5.696552125414532,15.0943,0.0,0.09044317154054227,0.6632499246306907,2.8640337654507135,13.837805245703947,47.57310823032861,92.13144407597227
5,06-04,Fluffy's Revenge 1,SS,848,5.98396875,14.1791,0.23584905660376876,0.23584905660376876,1.7688679245283083,6.367924528301884,24.05660377358491,61.08490566037735,94.33962264150944
6,06-04,Fluffy's Revenge 1,CO,2984,6.7399215482573736,14.786,0.06702412868632734,0.20107238605898203,1.8766756032171514,6.769436997319033,25.502680965147448,66.5549597855228,95.54289544235925
7,06-04,Fluffy's Revenge 1,PCC,1616,9.01724839108911,21.3904,0.18564356435643958,0.30940594059406124,2.351485148514854,8.415841584158414,35.148514851485146,77.6608910891089,96.9059405940594
0,06-05,Fluffy's Revenge 2,SS,1014,5.482083037475346,13.4483,0.09861932938855489,0.09861932938855489,1.1834319526627155,3.8461538461538396,18.63905325443787,53.15581854043393,96.35108481262328
1,06-05,Fluffy's Revenge 2,REV,247,4.47147004048583,9.901,1.214574898785429,2.8340080971659916,6.072874493927131,13.765182186234824,29.149797570850197,53.441295546558706,96.76113360323887
2,06-05,Fluffy's Revenge 2,OPN,2613,7.384721086873326,15.3527,0.03827018752392064,0.191350937619589,1.5308075009567546,6.620742441637958,29.123612705702257,69.95790279372369,96.21125143513203
3,06-05,Fluffy's Revenge 2,PCC,2146,9.328577865796833,20.4301,0.32618825722273925,0.8853681267474371,3.494874184529351,11.323392357875122,38.95619757688723,80.19571295433364,96.97110904007455
4,06-05,Fluffy's Revenge 2,CO,3872,6.522546022727273,14.1343,0.12913223140495234,0.3615702479338836,1.7561983471074427,6.94731404958678,28.589876033057863,69.65392561983471,97.13326446280992
5,06-05,Fluffy's Revenge 2,LTD,4069,5.753065962152863,12.987,0.0,0.07372818874416964,1.2042270828213333,4.595723765052838,17.399852543622515,57.4096829687884,96.28901449987713
6,06-05,Fluffy's Revenge 2,L10,420,5.3615433333333335,14.1264,0.4761904761904816,0.7142857142857082,1.1904761904761898,3.80952380952381,14.285714285714278,50.0,95.47619047619048
7,06-05,Fluffy's Revenge 2,PROD,2825,5.684866159292035,15.2542,0.03539823008848941,0.07079646017699304,0.849557522123888,4.56637168141593,19.716814159292028,56.81415929203539,95.43362831858407
0,06-06,Golden Bullet Standards,SS,766,3.200653524804178,7.6207,0.0,0.0,0.7832898172323723,3.263707571801561,14.751958224543074,50.13054830287206,94.7780678851175
1,06-06,Golden Bullet Standards,L10,379,3.0736263852242742,8.0871,0.0,0.0,0.2638522427440648,1.31926121372031,9.234828496042212,39.050131926121374,93.66754617414247
2,06-06,Golden Bullet Standards,OPN,2163,4.102590614886732,9.2245,0.0,0.04623208506703236,0.6472491909385099,3.975959315765138,18.90892279241794,59.36199722607489,93.38881183541378
3,06-06,Golden Bullet Standards,LTD,3717,2.958354802259887,8.5496,0.0,0.05380683346784565,0.37664783427494797,1.7487220877051328,9.1740651062685,39.44040893193436,91.31019639494215
4,06-06,Golden Bullet Standards,PROD,2426,3.049460387469085,7.8603,0.041220115416322756,0.08244023083264551,0.9068425391591148,3.9159109645507044,15.993404781533386,50.37098103874691,92.37427864798022
5,06-06,Golden Bullet Standards,REV,181,2.8567408839779005,5.8621,0.0,1.1049723756906076,3.8674033149171265,9.392265193370164,29.2817679558011,61.87845303867403,95.58011049723757
6,06-06,Golden Bullet Standards,PCC,1759,4.51421091529278,9.454,0.05685048322911257,0.5116543490619705,3.1836270608300197,10.801591813530422,35.361000568504835,70.892552586697,95.11085844229676
7,06-06,Golden Bullet Standards,CO,3378,3.5235748667850797,7.8014,0.0,0.23682652457074482,1.0953226761397303,4.943753700414447,22.853759621077558,62.19656601539373,95.47069271758437
0,06-10,Steely Speed VII,LTD,2963,4.103285453931826,10.1695,0.0,0.0,0.23624704691191312,1.451231859601748,8.403644954438064,42.92946338170773,97.30003374957813
1,06-10,Steely Speed VII,SS,638,3.835057053291536,10.2041,0.4702194357366807,0.6269592476488981,1.4106583072100278,2.9780564263322873,14.106583072100307,51.410658307210035,96.23824451410658
2,06-10,Steely Speed VII,CO,2898,5.149364320220842,11.5385,0.2070393374741144,0.7246376811594217,4.0372670807453375,10.213940648723252,33.36783988957902,74.98274672187716,97.65355417529331
3,06-10,Steely Speed VII,L10,363,3.90541349862259,8.9286,0.0,0.0,0.0,2.47933884297521,6.887052341597794,38.84297520661157,96.14325068870524
4,06-10,Steely Speed VII,PCC,1528,6.714481020942408,14.218,0.13089005235602258,0.39267015706806774,2.0287958115183216,7.133507853403145,32.395287958115176,77.22513089005236,97.25130890052355
5,06-10,Steely Speed VII,REV,162,3.3254759259259257,8.9021,1.8518518518518476,1.8518518518518476,2.4691358024691397,5.555555555555557,20.370370370370367,50.0,96.91358024691358
6,06-10,Steely Speed VII,OPN,1875,5.525829493333333,11.5385,0.05333333333332746,0.1599999999999966,2.2933333333333366,8.480000000000004,30.61333333333333,74.98666666666666,97.22666666666666
7,06-10,Steely Speed VII,PROD,1909,4.082330330015715,11.811,0.10476689366160485,0.15715034049240728,1.0476689366160343,3.4573074908329033,15.40073336825563,53.53588266107911,96.1760083813515
0,08-01,4 Bill Drill,L10,122,0.8370696721311476,4.0712,0.0,0.0,0.0,0.0,2.4590163934426243,13.114754098360663,55.73770491803278
1,08-01,4 Bill Drill,LTD,1457,1.0049470144131778,5.5184,0.0,0.0,0.5490734385724068,1.4413177762525748,3.9121482498284195,16.746739876458477,56.69183253260124
2,08-01,4 Bill Drill,REV,81,1.0238827160493826,3.2349,0.0,0.0,1.2345679012345698,3.7037037037037095,17.28395061728395,34.5679012345679,66.66666666666666
3,08-01,4 Bill Drill,CO,1290,1.643240465116279,6.2044,0.46511627906976116,0.8527131782945787,2.3255813953488342,6.821705426356587,17.674418604651166,38.759689922480625,78.21705426356588
4,08-01,4 Bill Drill,PROD,901,1.001468257491676,11.2811,0.33296337402885,0.4439511653718142,0.8879023307436142,1.6648168701442785,7.658157602663707,21.309655937846827,58.157602663706996
